Area,Year,Area harvested (ha),Production (t),Yield (kg/ha)
Western Asia,1971,29810,32719,1097.6
Western Asia,1972,32344,45777,1415.3
Western Asia,1973,32821,39192,1194.1
Western Asia,1974,34833,52895,1518.5
Western Asia,1975,36322,57635,1586.8
Western Asia,1976,37707,52259,1385.9
Western Asia,1977,39281,56273,1432.6
Western Asia,1978,35719,53588,1500.3
Western Asia,1979,42234,51952,1230.1
Western Asia,1980,48931,56759,1160
Western Asia,1981,50334,53913,1071.1
Western Asia,1982,48757,58197,1193.6
Western Asia,1983,49487,81355,1644
Western Asia,1984,49439,76901,1555.5
Western Asia,1985,43421,84854,1954.2
Western Asia,1986,43701,109500,2505.7
Western Asia,1987,44673,62477,1398.5
Western Asia,1988,46781,81433,1740.7
Western Asia,1989,46159,101822,2205.9
Western Asia,1990,46281,79098,1709.1
Western Asia,1991,56776,99458,1751.8
Western Asia,1992,59426,96023,1615.8
Western Asia,1993,52456,101203.45,1929.3
Western Asia,1994,54768,103113,1882.7
Western Asia,1995,65398,120352,1840.3
Western Asia,1996,67041,151367.22,2257.8
Western Asia,1997,77581,106540.82,1373.3
Western Asia,1998,79309,149055,1879.4
Western Asia,1999,78257,140531.76,1795.8
Western Asia,2000,81605,149010.38,1826
Western Asia,2001,81472,127482.27,1564.7
Western Asia,2002,94418,223251.08,2364.5
Western Asia,2003,96199,223101.88,2319.2
Western Asia,2004,96460,202766.9,2102.1
Western Asia,2005,96931,322590.72,3328.1
Western Asia,2006,97188,199118.34,2048.8
Western Asia,2007,102702,172652,1681.1
Western Asia,2008,103377,182280.85,1763.3
Western Asia,2009,113194,216031.82,1908.5
Western Asia,2010,106705,178458.13,1672.5
Western Asia,2011,111908,252972.44,2260.5
Western Asia,2012,114881,225135.99,1959.7
Western Asia,2013,117115,224695.9,1918.6
Western Asia,2014,118542,163367.5,1378.1
Western Asia,2015,120210,187637.92,1560.9
Western Asia,2016,123305,196354.19,1592.4
Western Asia,2017,125379,203397.65,1622.3
Western Asia,2018,131428,259041.01,1971
Western Asia,2019,137705,294985.41,2142.1
Western Asia,2020,142886,342196.21,2394.9
Western Asia,2021,150524,324993.81,2159.1
Western Asia,2022,157100,284063.31,1808.2
Western Asia,2023,161905,371468.51,2294.4
Western Europe,1961,,3680,
Western Europe,1962,,1760,
Western Europe,1963,,3620,
Western Europe,1964,,1990,
Western Europe,1965,,1970,
Western Europe,1966,,1340,
Western Europe,1967,,1558,
Western Europe,1968,,2010,
Western Europe,1969,,2637,
Western Europe,1970,,2630,
Western Europe,1971,,2210,
Western Europe,1972,,3890,
Western Europe,1973,,4000,
Western Europe,1974,,4260,
Western Europe,1975,,3419,
Western Europe,1976,,3725,
Western Europe,1977,,1280,
Western Europe,1978,,3880,
Western Europe,1979,,3580,
Western Europe,1980,,3700,
Western Europe,1981,,3500,
Western Europe,1982,,3400,
Western Europe,1983,,4400,
Western Europe,1984,,3000,
Western Europe,1985,1700,4000,2352.9
Western Europe,1986,1700,4290,2523.5
Western Europe,1987,1700,4500,2647.1
Western Europe,1988,1700,2800,1647.1
Western Europe,1989,1690,3561,2107.1
Western Europe,1990,1700,4200,2470.6
Western Europe,1991,1599,4967.7,3106.8
Western Europe,1992,1648,4630.8,2810
Western Europe,1993,1820,2779.2,1527
Western Europe,1994,1921,3950.1,2056.3
Western Europe,1995,1887,2218.3,1175.6
Western Europe,1996,1795,2089.2,1163.9
Western Europe,1997,1826,2658.7,1456
Western Europe,1998,1806,1649.7,913.5
Western Europe,1999,1741,1855.2,1065.6
Western Europe,2000,1602,2025,1264
Western Europe,2001,1421,1613.5,1135.5
Western Europe,2002,1381,2223.5,1610.1
Western Europe,2003,1401,1908.4,1362.2
Western Europe,2004,1367,2257.4,1651.4
Western Europe,2005,1357,2020,1488.6
Western Europe,2006,1315,1780,1353.6
Western Europe,2007,1293,1591,1230.5
Western Europe,2008,1273,1042,818.5
Western Europe,2009,1293,1099.7,850.5
Western Europe,2010,1262,713.4,565.3
Western Europe,2011,1255,635.3,506.2
Western Europe,2012,1194,988.4,827.8
Western Europe,2013,1059,630,594.9
Western Europe,2014,1134,1067,940.9
Western Europe,2015,1124,780,694
Western Europe,2016,1201,1139,948.4
Western Europe,2017,1242,1078,868
Western Europe,2018,1220,1130,926.2
Western Europe,2019,1180,1130,957.6
Western Europe,2020,2110,2060,976.3
Western Europe,2021,2210,1940,877.8
Western Europe,2022,2210,2520,1140.3
Western Europe,2023,2330,2130,914.2
World,1961,734703,756588,1029.8
World,1962,753026,436538,579.7
World,1963,738654,577518,781.9
World,1964,781827,631599,807.9
World,1965,789828,605077,766.1
World,1966,799071,606315,758.8
World,1967,776295,719378,926.7
World,1968,860649,709540,824.4
World,1969,771639,566655,734.4
World,1970,917991,676749,737.2
World,1971,913680,580612,635.5
World,1972,965564,700004,725
World,1973,1019631,621331,609.4
World,1974,1071585,855554,798.4
World,1975,1093050,752361,688.3
World,1976,1124258,930057,827.3
World,1977,1133109,812282,716.9
World,1978,1154579,904525,783.4
World,1979,1193170,833748,698.8
World,1980,1221982,919655,752.6
World,1981,1265223,1231227,973.1
World,1982,1258794,1045648,830.7
World,1983,1298798,846642,651.9
World,1984,1360432,1165867,857
World,1985,1349136,1145592,849.1
World,1986,1378410,976832,708.7
World,1987,1405497,1251975,890.8
World,1988,1405081,1141283,812.3
World,1989,1436184,1273584,886.8
World,1990,1446720,1315419,909.2
World,1991,1462741,1287290.53,880.1
World,1992,1458552,1318115.83,903.7
World,1993,1462493,1275181.77,871.9
World,1994,1480821,1384318.38,934.8
World,1995,1496347,1047573.22,700.1
World,1996,1514503,1292075.99,853.1
World,1997,1569284,1592740.14,1014.9
World,1998,1590429,1310894.08,824.2
World,1999,1609030,1657150.15,1029.9
World,2000,1672178,1452206.36,868.5
World,2001,1687316,1552538.32,920.1
World,2002,1691821,1849682.74,1093.3
World,2003,1614785,1772632.97,1097.8
World,2004,1633033,1610184.83,986
World,2005,1706081,1848483.01,1083.5
World,2006,1663676,2084658.06,1253
World,2007,1696763,2290027.67,1349.6
World,2008,1685852,2475261.38,1468.3
World,2009,1780280,2416426.05,1357.3
World,2010,1738910,2575821.38,1481.3
World,2011,1747921,3078565.68,1761.3
World,2012,1770173,2913104.5,1645.7
World,2013,1828130,2954074.79,1615.9
World,2014,1739125,2741709.8,1576.5
World,2015,1776389,2696171.89,1517.8
World,2016,1821857,2860346.2,1570
World,2017,1919301,3107727.78,1619.2
World,2018,2037140,3317592.33,1628.6
World,2019,2141132,3584078.52,1673.9
World,2020,2176015,4175682.93,1919
World,2021,2251942,4033098.22,1790.9
World,2022,2322710,3640790.38,1567.5
World,2023,2322067,3513970.31,1513.3
